director,evaluate_number,introduce,leadactors,movie_name,picture,release_time,score,serial_number,typelist
"
                            导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran",388603人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,,两杆大烟枪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,"
                            导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran,
                            1998 / 英国 / 剧情 喜剧 犯罪
                        ",9.1,51,
"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...",427850人评价,承前启后的史诗篇章。,,指环王2：双塔奇兵,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,
                            2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险
                        ",9.1,52,
"
                            导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...",393017人评价,自由万岁。,,飞越疯人院,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,"
                            导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...,
                            1975 / 美国 / 剧情
                        ",9.1,53,
"
                            导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...",478305人评价,动物版《哈姆雷特》。,,狮子王,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.jpg,"
                            导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...,
                            1994 / 美国 / 动画 冒险 歌舞
                        ",9.0,54,
"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...",480885人评价,传说的开始。,,指环王1：魔戒再现,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,
                            2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险
                        ",9.0,55,
"
                            导演: 詹姆斯·麦克特格 James McTeigue   主演: 娜塔莉·波特曼 Natalie Por...",678704人评价,一张面具背后的理想与革命。,,V字仇杀队,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg,"
                            导演: 詹姆斯·麦克特格 James McTeigue   主演: 娜塔莉·波特曼 Natalie Por...,
                            2005 / 美国 英国 德国 / 剧情 动作 科幻 惊悚
                        ",8.9,56,
"
                            导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...",473763人评价,爱是一切逻辑和原由。,,美丽心灵,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,"
                            导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...,
                            2001 / 美国 / 传记 剧情
                        ",9.0,57,
"
                            导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...",341138人评价,人生不能像做菜，把所有的料都准备好了才下锅。,,饮食男女,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,"
                            导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,
                            1994 / 中国台湾 美国 / 剧情 家庭
                        ",9.1,58,
"
                            导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   主演: 邱岳峰 Yuefeng Qiu /...",214152人评价,经典之作，历久弥新。,,大闹天宫,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,"
                            导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   主演: 邱岳峰 Yuefeng Qiu /...,
                            1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆) / 中国大陆 / 动画 奇幻
                        ",9.3,59,
"
                            导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint",518628人评价,童话世界的开端。,,哈利·波特与魔法石,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p804947166.jpg,"
                            导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint,
                            2001 / 美国 英国 / 奇幻 冒险
                        ",8.9,60,
"
                            导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...",315518人评价,音乐能化解仇恨。,,钢琴家,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792376093.jpg,"
                            导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...,
                            2002 / 法国 德国 英国 波兰 / 剧情 传记 历史 战争 音乐
                        ",9.1,61,
"
                            导演: 路易·西霍尤斯 Louie Psihoyos   主演: Richard O'Barry / 路易·西霍...",259085人评价,海豚的微笑，是世界上最高明的伪装。,,海豚湾,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg,"
                            导演: 路易·西霍尤斯 Louie Psihoyos   主演: Richard O'Barry / 路易·西霍...,
                            2009 / 美国 / 纪录片
                        ",9.3,62,
"
                            导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...",619654人评价,在时间之河里感受溺水之苦。,,本杰明·巴顿奇事,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,"
                            导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...,
                            2008 / 美国 / 剧情 爱情 奇幻
                        ",8.9,63,
